ID,FirstName,LastName,Email,Company,Phone,Area,Locality,City,StateCode,Pincode,Country
51,Priya,Rao,priya.rao@gmail.com,TCS,2146202474,Hitech City,Kondapur,Hyderabad,MH,730912,India
52,Kavya,Verma,kavya.verma@gmail.com,Cognizant,5327299222,Gachibowli,Kondapur,Pune,KA,743662,India
53,Suresh,Gupta,suresh.gupta@gmail.com,HCL,0401795542,Kukatpally,Kondapur,Hyderabad,TG,450158,India
54,Kiran,Sharma,kiran.sharma@gmail.com,HCL,2135837935,Kukatpally,Madhapur,Hyderabad,KA,352050,India
55,Geeta,Shetty,geeta.shetty@gmail.com,HCL,2301413621,Kukatpally,Ameerpet,Bangalore,MH,077708,India
56,Priya,Krishna,priya.krishna@gmail.com,Cognizant,6355280423,Kukatpally,Ameerpet,Chennai,KA,456949,India
57,Kavya,Agarwal,kavya.agarwal@gmail.com,Wipro,6490720236,Kukatpally,Ameerpet,Bangalore,KA,369116,India
58,Priya,Gowda,priya.gowda@gmail.com,Deloitte,1047155449,Hitech City,Kondapur,Pune,TG,326763,India
59,Anita,Chowdhury,anita.chowdhury@gmail.com,TCS,1765938672,Kondapur,Gachibowli,Mumbai,MH,827577,India
60,Harsha,Shetty,harsha.shetty@gmail.com,Cognizant,3739604787,Kukatpally,Jubilee Hills,Chennai,MH,938244,India
61,Sirisha,Shetty,harsha.shetty@gmail.com,Cognizant,3739604787,Kukatpally,Jubilee Hills,Chennai,MH,938244,India
