ID,FirstName,LastName,Email,Company,Phone,Area,Locality,City,StateCode,Pincode,Country
61,Priya,Rao,priya.rao@gmail.com,TCS,2146202474,Hitech City,Kondapur,Hyderabad,MH,730912,India
62,Kavya,Verma,kavya.verma@gmail.com,Cognizant,5327299222,Gachibowli,Kondapur,Pune,KA,743662,India
63,Suresh,Gupta,suresh.gupta@gmail.com,HCL,0401795542,Kukatpally,Kondapur,Hyderabad,TG,450158,India
64,Kiran,Sharma,kiran.sharma@gmail.com,HCL,2135837935,Kukatpally,Madhapur,Hyderabad,KA,352050,India
65,Geeta,Shetty,geeta.shetty@gmail.com,HCL,2301413621,Kukatpally,Ameerpet,Bangalore,MH,077708,India
66,Priya,Krishna,priya.krishna@gmail.com,Cognizant,6355280423,Kukatpally,Ameerpet,Chennai,KA,456949,India
67,Kavya,Agarwal,kavya.agarwal@gmail.com,Wipro,6490720236,Kukatpally,Ameerpet,Bangalore,KA,369116,India
68,Priya,Gowda,priya.gowda@gmail.com,Deloitte,1047155449,Hitech City,Kondapur,Pune,TG,326763,India
69,Anita,Chowdhury,anita.chowdhury@gmail.com,TCS,1765938672,Kondapur,Gachibowli,Mumbai,MH,827577,India
70,Harsha,Shetty,harsha.shetty@gmail.com,Cognizant,3739604787,Kukatpally,Jubilee Hills,Chennai,MH,938244,India
